accuracy,minThreshold,maxThreshold,filterByColor,blobColor,filterByArea,minArea,maxArea,filterByCircularity,minCircularity,maxCircularity,filterByConvexity,minConvexity,maxConvexity,filterByInertia,minInertiaRatio,maxInertiaRatio
0.1111111111111111,120,255,True,255,True,1000,3000,True,0.5,,True,0.5,0.8,True,0.3,0.8
0.1111111111111111,120,255,True,255,True,1000,3000,True,0.5,1,True,0.5,0.8,True,0.3,0.8
0.4444444444444444,120,255,True,255,True,1000,3000,True,0.5,1,True,0.5,1,True,0.3,0.8
0.4444444444444444,120,255,True,255,True,1000,3000,True,0.5,0.8,True,0.5,1,True,0.3,0.8
0.3333333333333333,120,255,True,255,True,1000,3000,True,0.5,0.7,True,0.5,1,True,0.3,0.8
0.2222222222222222,120,255,True,255,True,1000,3000,True,0.6,0.8,True,0.5,1,True,0.3,0.8
0.4444444444444444,120,255,True,255,True,1000,3000,True,0.4,0.8,True,0.5,1,True,0.3,0.8
0.3333333333333333,120,255,True,255,True,1000,3000,True,0.4,0.8,True,0.5,1,True,0.3,0.7
0.3333333333333333,80,255,True,255,True,1000,3000,True,0.4,0.8,True,0.5,1,True,0.3,0.7
0.5555555555555556,80,255,True,255,True,600,3000,True,0.4,0.8,True,0.5,1,True,0.3,0.7
0.5555555555555556,80,255,True,255,True,400,3000,True,0.4,0.8,True,0.5,1,True,0.3,0.7
0.5555555555555556,80,255,True,255,True,600,3000,True,0.4,1,True,0.5,1,True,0.3,0.7
0.3333333333333333,80,255,True,255,True,600,3000,True,0.4,0.7,True,0.5,1,True,0.3,0.7
0.5555555555555556,80,255,True,255,True,600,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.7
0.4444444444444444,80,255,True,255,True,600,3000,True,0.5,0.9,True,0.5,1,True,0.3,0.7
0.5555555555555556,80,255,True,255,True,600,3000,True,0.4,0.9,True,0.5,1,True,0.3,0.7
0.5555555555555556,80,255,True,255,True,600,3000,True,0.4,0.9,True,0.4,1,True,0.3,0.7
0.1111111111111111,80,255,True,255,True,600,3000,True,0.4,0.9,True,0.5,1,True,0.6,0.7
0.3333333333333333,80,255,True,255,True,600,3000,True,0.4,0.9,True,0.5,1,True,0.3,0.5
0.5555555555555556,80,255,True,255,True,600,3000,True,0.4,0.9,True,0.5,1,True,0.3,0.6
0.5555555555555556,80,255,True,255,True,600,3000,True,0.4,0.9,True,0.5,1,True,0.3,0.7
0.5555555555555556,80,255,True,255,True,600,3000,True,0.4,0.9,True,0.5,1,True,0.3,0.6
0.2222222222222222,80,255,True,255,True,600,3000,True,0.4,0.9,True,0.5,1,True,0.3,0.6
0.5555555555555556,80,255,True,255,True,600,3000,True,0.4,0.9,True,0.5,1,True,0.3,0.6
0.2222222222222222,80,255,True,255,True,600,3000,True,0.4,0.9,True,0.5,1,True,0.3,0.6
0.1111111111111111,80,255,True,255,True,600,3000,True,0.3,0.9,True,0.5,1,True,0.1,0.6
0.5555555555555556,80,255,True,255,True,600,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.5555555555555556,80,255,True,255,True,500,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.5555555555555556,80,255,True,255,True,500,8000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.5555555555555556,80,255,True,255,True,500,9000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.5555555555555556,80,255,True,255,True,200,9000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.4444444444444444,80,255,True,255,True,150,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.5555555555555556,80,255,True,255,True,200,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.4444444444444444,80,255,True,255,True,200,1500,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.4444444444444444,80,255,True,255,True,200,2000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.5555555555555556,80,255,True,255,True,200,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.3333333333333333,80,255,True,255,True,100,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.3333333333333333,80,255,True,255,True,100,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.5555555555555556,80,255,True,255,True,500,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.5555555555555556,80,255,True,255,True,500,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
1.0,80,255,True,255,True,500,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
1.0,80,255,True,255,True,500,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.8,80,255,True,255,True,500,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.6,127,214,True,255,True,500,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.8,80,255,True,255,True,500,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.6,127,214,True,255,True,500,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.6,80,255,True,255,True,300,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.6,80,255,True,255,True,500,2500,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.8,80,255,True,255,True,500,3000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.8,80,255,True,255,True,500,5000,True,0.3,0.9,True,0.5,1,True,0.3,0.6
0.8,80,255,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
0.8,80,255,True,255,True,500,3000,True,0.3,0.9,True,0.2,1,True,0.3,0.6
0.8,80,220,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
0.8,80,220,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
0.8,80,220,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
0.8,80,220,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
0.8,80,220,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
0.8,127,220,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
0.8,80,250,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
0.8,80,250,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
0.8,80,250,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
1.0,80,250,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
1.0,80,250,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
1.0,80,250,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
1.0,80,250,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
1.0,80,250,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
1.0,80,250,True,255,True,500,3000,True,0.3,0.9,True,0.4,1,True,0.3,0.6
